ID,medv
1,27.901279277184322
2,23.822646606260236
3,33.20992680833686
8,14.995113704196312
15,18.42065206006674
16,19.670356130771637
18,14.7430466454807
21,11.591653958581349
22,15.631781375100594
23,12.610029663045312
24,11.485927579606178
27,13.858390331688126
30,18.702811478334574
37,22.60242755982584
38,23.73352876373477
39,22.716552592582996
40,29.157109115185207
41,34.18939641332753
42,30.553362189180394
47,19.240337334696736
52,23.11937933093556
58,33.93448474359736
63,25.359814081126828
66,28.258541185923402
67,21.212070084370243
68,21.723934295118788
71,26.993516446657118
72,22.652210503954272
73,27.444872185088173
74,25.615642704973077
77,21.74442341417201
78,22.82635935390596
79,19.640753829931807
84,24.11231127533154
86,28.420296626367207
89,31.407191796485996
93,27.519918874822064
94,29.121416979577475
96,29.58706313368191
97,22.960420633081295
103,20.50639325994087
110,18.42838470999389
111,19.808584635334057
112,25.202148712900147
113,19.09397051862031
114,18.16799324869719
115,24.69123466073419
116,19.665614677140436
117,21.703916532483117
118,22.854819046056104
125,20.300648663785847
128,14.851576394117624
132,17.179200060468492
133,18.69224267537345
138,17.642576152784788
139,13.436489696378752
141,13.402953881360602
146,13.30655220650879
149,12.92565639043843
151,18.386588217145572
153,20.6184690416202
154,16.89283915738922
155,17.84573180346833
160,25.39336215594208
163,43.63906339794012
167,42.4090451549878
175,26.769764146397442
176,32.12329089194765
179,31.94870796940218
180,35.52466661442231
183,36.95308548813584
184,32.70981191590192
187,40.94319596337868
188,30.077057157939446
194,29.943788164386817
196,41.779031970566194
199,32.12345224438065
200,28.105525838791436
203,36.32895744821515
204,42.40785595788783
205,45.209456838998975
207,22.282875277733353
210,14.693745934157228
212,15.017738360108822
216,24.207534800822167
218,27.30851353936903
219,20.40350577946525
221,30.484020159069992
226,50.491360386373294
228,34.64476159972409
229,40.89821554856307
231,23.821681191882575
233,46.90956070549467
235,29.6842715067757
237,26.3112907906742
242,20.57240628838803
247,21.687456637854382
248,21.10207746158416
249,22.360109361049666
252,29.16170725037511
253,32.009994188493756
254,41.07186011983465
255,25.29551670475399
256,22.033679335716567
257,37.94175273528214
261,33.048227373091684
262,37.464757293116925
265,35.19145672878941
266,27.742602804002093
267,27.476993347599578
269,41.8832903787441
271,19.998020110018942
273,27.496809841955212
274,34.28773208237163
275,33.81753459717305
277,32.09957803125394
278,32.00891195940316
282,35.26977255083515
283,41.70888034260743
284,43.16873781082511
285,27.898518835051423
286,24.27245484089171
287,19.799169767324255
288,26.432853344183243
289,26.150173536188632
291,32.82050805888276
292,33.956589755603176
293,30.088062369835875
295,23.969692753484505
296,29.757675351452047
297,28.06118708621778
300,32.28524960696578
303,26.488886736742963
308,31.68432867104679
314,25.440103574022164
316,19.50480700756397
317,14.801458542879663
321,25.32977619442233
324,19.131750132614965
326,26.710101252842414
327,24.935468170361915
328,17.805424611787807
331,20.28118679812848
332,16.92014667820089
334,25.003013793456375
335,23.74577914228044
336,21.965464245596124
338,19.500835840689657
346,18.068240628099694
348,24.78696901545453
356,25.03448009822126
358,20.474872617279598
361,25.421365771854706
365,49.22481143701327
366,35.958684044584245
371,39.68658574693955
375,18.945668563534856
381,31.41029694533532
383,15.154151419447334
384,15.748119260724437
387,10.368120844821082
388,10.32094220837849
389,13.440796598279203
391,17.965530837157182
395,15.95420730244168
398,17.296880903995593
400,15.748343748334797
402,15.080136294490469
403,17.540048259296622
408,22.700612340890395
410,19.980111602066188
416,8.54917821199654
417,13.02315745088708
419,11.929513669268058
420,13.483147112098827
422,19.678566464458996
428,8.123264752013275
430,13.27918320068952
434,18.037373581008467
445,12.437683950050161
448,16.000801992624076
449,15.418977613348751
451,14.850786496645922
453,18.39269564302241
457,12.62304263919994
458,10.936338853139329
460,17.458313662403228
464,22.614003394615338
471,20.205355904408794
472,24.033796076579215
474,27.361666293679143
475,18.434500775216577
478,13.085493176141252
479,17.784912338400215
482,29.195156197463724
484,24.200447732257253
489,10.495936963595522
491,8.974245841598652
493,13.046701966971959
497,13.918586332749767
505,28.187480375157037
506,23.994241546158765
